parte,variante,termino,est,ic_inf,ic_sup,p
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.7],0.18415736792874016,0.07992078723110217,0.4243443706876219,7.107687724882868e-05
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.8],0.18054106730841135,0.0802232000309643,0.4063048715618346,3.5310374849772186e-05
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.9],0.11930086960255339,0.05105106080058723,0.2787933740205793,9.141897847237303e-07
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.10],0.19603813282393126,0.0846382297332855,0.4540613578780897,0.00014334804736674907
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.11],1.0380726407863488,0.30707333323182723,3.5092425519594244,0.952055274739336
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.12],0.5348067887664182,0.15533398564523962,1.841311803869327,0.32111641747436936
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.13],0.18061567148842972,0.08475001625606098,0.3849205254268417,9.295782516813112e-06
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.14],0.1151159110112602,0.04329277255731609,0.30609434751281517,1.4735993358686373e-05
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.15],0.47389805277642433,0.10816434754482439,2.0762790098855697,0.3218229814213248
2_intensidad_nb,a_sin_bajo_umbral,C(cod_reg)[T.16],0.07839261041125047,0.03116416194236741,0.19719450112134973,6.31755847931313e-08
2_intensidad_nb,a_sin_bajo_umbral,log_pob,1.533022579113359,1.2191703307724309,1.9276701284080484,0.0002566398828931096
2_intensidad_nb,a_sin_bajo_umbral,alpha,1.5760966614216447,1.4256275163054244,1.7424472084980918,6.293121813751399e-19
1_presencia_logit,b_sin_colchane,Intercept,4.2463391204598457e-10,9.070864192359638e-13,1.9878366100040928e-07,6.038421846297172e-12
1_presencia_logit,b_sin_colchane,C(cuartil)[T.2],0.7892443098554417,0.32601231735180897,1.9106841903982315,0.5998119124520314
1_presencia_logit,b_sin_colchane,C(cuartil)[T.3],0.8881724335938432,0.30526989731933074,2.5841076330262096,0.8277110799373795
